userid,start_busStop,start_busDes,start_roadDes,start_x,start_y,end_busStop,end_busDes,end_roadDes,end_x,end_y,userid,
219,76099,Blk 285,Tampines Ave 2,103.9525,1.350264,75009,Tampines Int,Tampines Ctrl 1,103.9434,1.354076,219,
223,67049,Aft Jln Redop,Yio Chu Kang Rd,103.8678091,1.387728,67049,Aft Jln Redop,Yio Chu Kang Rd,103.87,1.387728,223,
226,17159,Blk 365,C'wealth Ave West,103.7697,1.311999,11519,Opp Queensway Shop Ctr,Alexandra Rd,103.8033,1.286657,226,
226,3217,Opp Temasek Twr,Shenton Way,103.8479,1.275433,17179,Clementi Stn,C'wealth Ave West,103.7654,1.315286,226,
231,1112,Opp Bugis Junction,Victoria St,103.8552,1.300155,85091,Tanah Merah Stn,New Upp Changi Rd,103.9463,1.327333,231,
231,92069,Tao Nan Sch,Marine Parade Rd,103.911,1.305663,85091,Tanah Merah Stn,New Upp Changi Rd,103.9463,1.327333,231,
233,84049,Blk 27,New Upp Changi Rd,103.9347,1.324327,72049,Blk 658,Jln Tenaga,103.9062,1.333443,233,
236,54248,Blk 324,Ang Mo Kio Ave 3,103.8466,1.368755,54081,Teck Ghee Ct,Ang Mo Kio Ave 1,103.8479,1.36359,236,
237,63149,Serangoon Stadium,Boundary Rd,103.8745,1.3549,77039,Bef Pasir Ris Ctrl,Pasir Ris Dr 1,103.9483,1.371591,237,
238,5129,Hong Lim Pk,Upp Pickering St,103.8463,1.286012,3211,Bef Shenton Way,Palmer Rd,103.8466,1.273275,238,
238,5199,Opp Hong Lim Cplx,Sth Bridge Rd,103.8467,1.284471,3211,Bef Shenton Way,Palmer Rd,103.8466,1.273275,238,
258,14229,St. Teresa's Ch,Kg Bahru Rd,103.8286,1.273707,10161,Opp Tiong Bahru Plaza,Tiong Bahru Rd,103.8267,1.285931,258,
258,2149,Suntec Twr Three,Temasek Blvd,103.8596,1.295605,10049,Aft Jln Bt Merah,Kg Bahru Rd,103.8348,1.276233,258,
273,84349,Fengshan Pr Sch,Bedok Nth Rd,103.9323,1.330917,71071,Opp Comfort Driving Ctr,Eunos Link,103.8979,1.336396,273,
284,13091,Aft AA Ctr,River Valley Rd,103.8394,1.295931,75121,Opp Darul Ghufran Mque,Tampines Ave 5,103.939,1.355934,284,
284,76101,Tampines East CC,Tampines Ave 2,103.9548,1.353033,95011,Bef Changi Airport PTB3,Airport Blvd,103.9841,1.347195,284,
285,65021,Opp Blk 110,Punggol Rd,103.8996,1.384031,67211,Blk 208 CP,Sengkang East Ave,103.8977,1.383938,285,
290,10041,Aft Blair Rd,Kg Bahru Rd,103.8352,1.276058,14141,VivoCity,Telok Blangah Rd,103.8221,1.265514,290,
317,84401,Opp Blk 550,Bedok Nth St 3,103.927,1.333165,84009,Bedok Int,Bedok Nth Dr,103.9282,1.325005,317,
318,67191,Blk 223D,Compassvale Rd,103.8971,1.389083,25191,Asiatic Engrg,Tuas Ave 1,103.6597,1.3213,318,
318,67191,Blk 223D,Compassvale Rd,103.8971,1.389083,71079,Comfort Driving Ctr,Eunos Link,103.8983,1.335541,318,
323,10199,Delta Swim Cplx,Tiong Bahru Rd,103.8194,1.288757,7571,Opp Prime Ctr,Middle Rd,103.8511,1.300634,323,
324,64071,Opp Punggol Pk,Hougang Ave 8,103.8972,1.375141,70301,Aft Paya Lebar St,Upp Paya Lebar Rd,103.8858,1.339658,324,
338,84459,Bet Blks 705/706,Bedok Nth Rd,103.9183,1.336425,9212,Royal Plaza On Scotts,Scotts Rd,103.8327,1.307022,338,
349,60141,Opp Bendemeer Pr Sch,S'goon Rd,103.8639,1.322588,75359,Aft TPE,Tampines Ave 10,103.9315,1.374387,349,
370,77169,Meridian JC,Pasir Ris Dr 10,103.9363,1.376943,77021,Opp Blk 571,Pasir Ris Dr 1,103.9456,1.372663,370,
372,15139,Opp Kent Ridge Stn,Sth Buona Vista Rd,103.7846,1.29241,7531,Aft Sim Lim Sq,Rochor Canal Rd,103.8521,1.30385,372,
372,75081,Blk 831,Tampines Ave 3,103.9343,1.349869,75009,Tampines Int,Tampines Ctrl 1,103.9434,1.354076,372,
375,17171,Clementi Stn,C'wealth Ave West,103.765,1.314975,95019,Aft Changi Airport PTB2,Airport Blvd,103.9843,1.346872,375,
377,83159,Opp East Shore Hosp,Joo Chiat Pl,103.9095,1.314804,81111,Paya Lebar Stn,Paya Lebar Rd,103.8921,1.318602,377,
378,77331,Blk 747A,Pasir Ris Dr 12,103.9334,1.378297,70081,Opp HDB CP,Ubi Ave 3,103.895,1.332276,378,
383,64549,Opp Hougang Ctrl Int,Hougang Ctrl,103.8917,1.3714,64159,Bef Lor Tongkol,Tampines Rd,103.91,1.367511,383,
388,78059,Blk 210,Pasir Ris Dr 1,103.9611,1.366776,78181,Bef Blk 187,Pasir Ris St 11,103.9591,1.364761,388,
391,66541,Blk 980C,Buangkok Link,103.8814,1.379775,64471,Blk 917,Hougang Ave 9,103.884,1.374548,391,
395,40019,Little India Stn,Bt Timah Rd,103.8492,1.306644,66389,Opp Blk 334,S'goon Ave 2,103.8711,1.350922,395,
395,66369,Blk 238,S'goon Ave 2,103.8682,1.353553,66389,Opp Blk 334,S'goon Ave 2,103.8711,1.350922,395,
397,4167,St. Andrew's Cath,Nth Bridge Rd,103.8515,1.2925,77321,Aft Pasir Ris St 53,Pasir Ris Dr 8,103.9483,1.373238,397,
397,77319,Opp Blks 771/772,Pasir Ris St 71,103.9375,1.375547,77321,Aft Pasir Ris St 53,Pasir Ris Dr 8,103.9483,1.373238,397,
400,10111,Opp Blk 28,Jln Bt Merah,103.8094,1.285928,52361,Blk 1,Lor 6 Toa Payoh,103.853,1.33976,400,
402,12101,Ngee Ann Poly,Clementi Rd,103.7777,1.332439,52071,Trellis Twrs,Jln Toa Payoh,103.8438,1.329914,402,
412,5022,People's Pk Ctr,Eu Tong Sen St,103.8444,1.285711,76239,Opp Tampines JC,Tampines Ave 7,103.9575,1.356467,412,
416,92241,Amber Gdn,Amber Rd,103.901,1.301784,2151,Suntec Convention Ctr,Temasek Blvd,103.8578,1.293178,416,
416,92241,Amber Gdn,Amber Rd,103.901,1.301784,2151,Suntec Convention Ctr,Temasek Blvd,103.8578,1.293178,416,
418,5012,Pearl's Ctr,Eu Tong Sen St,103.8409,1.281546,40011,Little India Stn,Bt Timah Rd,103.8491,1.306064,418,
450,65261,Blk 649,Punggol Ctrl,103.9148,1.396952,57021,Forest Hills Condo,Sembawang Rd,103.8183,1.404141,450,
462,64439,Blk 537,Hougang St 51,103.8895,1.37798,71031,Opp Gordon Warehse Bldg,Airport Rd,103.8968,1.339139,462,
