target,source,flow,distance,TargetBusstopName,SourceBusstopName
8041,92089,1,Long,Orchard Rd,Marine Parade Rd
8041,44299,1,Long,Orchard Rd,Teck Whye Ave
8041,53361,1,Long,Orchard Rd,Sin Ming Ave
8057,44611,2,Long,Orchard Rd,Jelapang Rd
8057,91091,1,Long,Orchard Rd,Mountbatten Rd
8057,28519,1,Long,Orchard Rd,Jurong West Ave 1
8069,28099,1,Long,Bras Basah Rd,Boon Lay Way
8121,50211,1,Long,Somerset Rd,Balestier Rd
8138,28659,1,Long,Orchard Rd,Toh Guan Rd
9011,43059,1,Long,Orchard Turn,Upp Bt Timah Rd
9022,51011,1,Long,Orchard Blvd,Thomson Rd
9023,44241,1,Long,Orchard Turn,Bt Panjang Rd
9023,53169,1,Long,Orchard Turn,Marymount Rd
9023,10069,1,Long,Orchard Turn,Jln Bt Merah
9037,52031,1,Long,Orchard Rd,Braddell Rd
9038,60161,1,Long,Orchard Rd,S'goon Rd
9038,60139,1,Long,Orchard Rd,Bendemeer Rd
9047,53289,1,Long,Orchard Rd,Bishan St 13
9179,28459,1,Long,Orchard Rd,Jurong East Ave 1
9212,84459,1,Long,Scotts Rd,Bedok Nth Rd
9213,10209,2,Long,Scotts Rd,Tiong Bahru Rd
9219,92059,1,Long,Scotts Rd,Marine Parade Rd
9219,14229,1,Long,Scotts Rd,Kg Bahru Rd
9219,54229,1,Long,Scotts Rd,Ang Mo Kio Ave 3
10009,14209,1,Short,Bt Merah Ctrl,Depot Rd
10009,9022,2,Long,Bt Merah Ctrl,Orchard Blvd
10017,52079,1,Long,Eu Tong Sen St,Jln Toa Payoh
10017,55139,1,Long,Eu Tong Sen St,Ang Mo Kio Ave 4
10018,1311,1,Long,Eu Tong Sen St,Kallang Rd
10018,6171,1,Long,Eu Tong Sen St,Upp Cross St
10049,2149,1,Long,Kg Bahru Rd,Temasek Blvd
10071,10069,1,Short,Jln Bt Merah,Jln Bt Merah
10079,5039,1,Long,Jln Bt Merah,New Bridge Rd
10081,10161,1,Short,Jln Bt Merah,Tiong Bahru Rd
10089,14381,1,Short,Jln Bt Merah,Bt Purmei Ave
10089,8019,1,Long,Jln Bt Merah,Clemenceau Ave
10091,10071,1,Short,Jln Bt Merah,Jln Bt Merah
10099,11599,1,Long,Jln Bt Merah,Mei Ling St
10101,19019,1,Long,Jln Bt Merah,C'wealth Ave West
10111,10381,1,Short,Jln Bt Merah,Lower Delta Rd
10111,10519,1,Short,Jln Bt Merah,Delta Rd
10111,53289,1,Long,Jln Bt Merah,Bishan St 13
10111,15041,1,Long,Jln Bt Merah,Alexandra Rd
10111,21399,1,Long,Jln Bt Merah,Boon Lay Ave
10119,77269,1,Long,Jln Bt Merah,Pasir Ris Dr 12
10119,5049,1,Long,Jln Bt Merah,New Bridge Rd
10121,40031,1,Long,Kim Tian Rd,Bt Timah Rd
10131,52189,1,Long,Jln Bt Merah,Lor 2 Toa Payoh
10139,54481,1,Long,Jln Bt Merah,Ang Mo Kio Ave 5
10139,64411,1,Long,Jln Bt Merah,Hougang Ave 4
10141,14229,1,Short,Tiong Bahru Rd,Kg Bahru Rd
10149,9047,1,Long,Tiong Bahru Rd,Orchard Rd
10161,14229,1,Short,Tiong Bahru Rd,Kg Bahru Rd
10161,10071,1,Short,Tiong Bahru Rd,Jln Bt Merah
10161,14041,1,Short,Tiong Bahru Rd,Henderson Rd
10161,16049,1,Long,Tiong Bahru Rd,Pasir Panjang Rd
10169,71091,2,Long,Tiong Bahru Rd,Eunos Link
10169,80291,1,Long,Tiong Bahru Rd,Geylang Bahru
10199,10191,1,Short,Tiong Bahru Rd,Tiong Bahru Rd
10201,14041,1,Short,Tiong Bahru Rd,Henderson Rd
10201,22009,1,Long,Tiong Bahru Rd,Jurong West Ctrl 3
10201,10299,1,Long,Tiong Bahru Rd,Alexandra Rd
10209,14241,1,Short,Tiong Bahru Rd,Henderson Rd
10209,10481,1,Short,Tiong Bahru Rd,Redhill Cl
10209,14071,1,Short,Tiong Bahru Rd,Keppel Rd
10209,44251,1,Long,Tiong Bahru Rd,Bt Panjang Rd
10209,64541,1,Long,Tiong Bahru Rd,Hougang Ctrl
10221,9022,1,Long,Ganges Ave,Orchard Blvd
10249,10181,1,Short,Alexandra Rd,Tiong Bahru Rd
10249,11031,1,Long,Alexandra Rd,Queensway
10281,10169,1,Short,Alexandra Rd,Tiong Bahru Rd
10291,7571,1,Long,Alexandra Rd,Middle Rd
10329,14201,1,Short,Tanglin Rd,Depot Rd
10331,9022,1,Long,Henderson Rd,Orchard Blvd
10349,46429,1,Long,Henderson Rd,Woodlands St 83
10379,17171,1,Long,Lower Delta Rd,C'wealth Ave West
10389,10079,1,Short,Lower Delta Rd,Jln Bt Merah
11021,11161,1,Short,Queensway,C'wealth Ave
11031,43829,1,Long,Queensway,Hume Ave
11071,40239,1,Long,Queensway,Whitley Rd
11071,75009,1,Long,Queensway,Tampines Ctrl 1
11071,10201,1,Long,Queensway,Tiong Bahru Rd
11131,14271,1,Long,C'wealth Ave,Telok Blangah Way
11149,10299,1,Short,C'wealth Ave,Alexandra Rd
11171,42181,2,Long,C'wealth Ave,Jln Jurong Kechil
11201,80049,1,Long,Holland Rd,Geylang Rd
11229,11099,1,Short,Holland Rd,Farrer Rd
11261,43049,1,Short,Holland Rd,Upp Bt Timah Rd
11261,12211,1,Short,Holland Rd,Mt Sinai Dr
11261,42159,1,Short,Holland Rd,Jln Jurong Kechil
11261,53351,1,Long,Holland Rd,Sin Ming Ave
11269,1039,1,Long,Holland Rd,Nth Bridge Rd
11361,11111,1,Long,Nth Buona Vista Rd,Farrer Rd
11361,12151,1,Long,Nth Buona Vista Rd,Moonbeam Walk
11361,70269,1,Long,Nth Buona Vista Rd,Paya Lebar Rd
11369,18099,1,Short,Nth Buona Vista Rd,Ayer Rajah Cres
11369,19071,1,Short,Nth Buona Vista Rd,Dover Rd
11511,10231,1,Long,Alexandra Rd,Ganges Ave
11519,17109,1,Short,Alexandra Rd,Clementi Rd
11519,17159,1,Long,Alexandra Rd,C'wealth Ave West
11519,65069,1,Long,Alexandra Rd,Punggol Rd
11519,14191,2,Long,Alexandra Rd,Depot Rd
11521,11139,2,Short,Alexandra Rd,C'wealth Ave
11521,10091,1,Long,Alexandra Rd,Jln Bt Merah
11531,14271,1,Long,Alexandra Rd,Telok Blangah Way
11541,6171,1,Long,Stirling Rd,Upp Cross St
12061,42149,1,Long,Clementi Rd,Clementi Rd
12069,44441,1,Long,Clementi Rd,Choa Chu Kang Way
12089,27141,1,Long,Clementi Rd,Jurong West St 91
12091,60161,1,Long,Clementi Rd,S'goon Rd
12091,59009,1,Long,Clementi Rd,Yishun Ctrl
12091,64481,1,Long,Clementi Rd,Hougang Ave 9
12099,11451,1,Long,Clementi Rd,C'wealth Dr
12101,53241,1,Long,Clementi Rd,Bishan Rd
12101,65159,1,Long,Clementi Rd,Punggol Field
12101,62221,1,Long,Clementi Rd,Lor Ah Soo
12109,64039,1,Long,Clementi Rd,Hougang Ave 8
13101,2161,1,Long,River Valley Rd,Temasek Ave
13101,5012,1,Long,River Valley Rd,Eu Tong Sen St
