userid,start_busStop,start_roadDes,start_y,start_x,end_busStop,end_roadDes,end_y,end_x
1305,Marine Parade Rd,Neptune Ct,1.307876,103.9211,Ophir Rd,Opp Rochor Ctr,1.303194,103.8555
1305,Marine Parade Rd,Neptune Ct,1.307876,103.9211,Paya Lebar Rd,Paya Lebar Stn,1.318602,103.8921
1306,Bishan St 13,Blk 169,1.346656,103.8543,Lor 8 Toa Payoh,Blk 227,1.339726,103.8581
1306,Bishan St 13,Zion Bible Presby Ch,1.347233,103.8546,Jln Bt Merah,Opp Blk 28,1.285928,103.8094
1315,S'goon Rd,Boon Keng Stn,1.320088,103.8618,Bt Batok West Ave 5,Opp Bt Batok Driving Ctr,1.367696,103.7502
1317,Changi Rd,Mjd Kassim,1.318889,103.9122,Yio Chu Kang Rd,Opp NCS Hub,1.389448,103.8436
1317,Changi Rd,Mjd Kassim,1.318889,103.9122,Yio Chu Kang Rd,Opp NCS Hub,1.389448,103.8436
1319,Teban Gdns Rd,Aft Hasanah Mque,1.322469,103.7395,Old Airport Rd,Blk 22,1.307261,103.8849
1327,Mt Sinai Rise,Opp Village Twr,1.31548,103.7782,Sth Buona Vista Rd,Kent Ridge Stn,1.292543,103.7845
1329,Eunos Link,Opp Comfort Driving Ctr,1.336396,103.8979,Bedok Nth Dr,Bedok Int,1.325005,103.9282
1338,Lor 6 Toa Payoh,Opp Toa Payoh Stadium,1.331468,103.8527,Bishan St 13,Bishan Int,1.350455,103.8499
1341,Jln Jurong Kechil,Grand Chateau,1.343628,103.7694,C'wealth Ave,Opp Blk 7B,1.305357,103.7948
1341,Jln Jurong Kechil,Opp Grand Chateau,1.343789,103.7696,C'wealth Ave,Opp Blk 7B,1.305357,103.7948
1343,Redhill Cl,Opp Blk 73,1.287842,103.818,Tiong Bahru Rd,Redhill Stn,1.289546,103.8167
1343,Keppel Rd,Keppel Workshop,1.272246,103.8338,Tiong Bahru Rd,Redhill Stn,1.289546,103.8167
1349,Old Airport Rd,Blk 22,1.307261,103.8849,Bendemeer Rd,Opp Blk 28,1.318897,103.8642
1369,Changi Sth Ave 1,Yusen Logistics,1.332919,103.9607,Tampines Ave 5,Blk 938,1.348202,103.9419
1372,Upp S'goon Rd,Opp Serangoon JC,1.364377,103.8898,Hougang Ave 2,Blk 708,1.366872,103.8892
1375,Farrer Rd,Farrer Rd Stn,1.317802,103.8077,Nth Buona Vista Rd,Buona Vista Stn,1.306498,103.7906
1386,Bedok Reservoir Rd,Aft Waterfront Waves,1.338571,103.9294,Newton Rd,Opp Hotel Royal,1.317435,103.8414
1391,Upp S'goon Rd,Blk 302,1.368308,103.8939,Moulmein Rd,Natl Skin Ctr,1.319303,103.8493
1392,S'goon Rd,St. Michael's Pl,1.324773,103.8656,Bendemeer Rd,Blk 44,1.322049,103.8663
1406,Zion Rd,Opp Great World City,1.294092,103.8308,Tampines St 21,Blk 259,1.354847,103.9508
1411,Hougang Ave 4,Blk 919,1.375486,103.8846,AYE,Blk 426,1.311637,103.7635
1420,Saujana Rd,Blk 413,1.382133,103.7684,Bangkit Rd,Opp Blk 253,1.379304,103.7743
1422,AYE,Clementi Stadium,1.310995,103.7635,Toh Tuck Link,Aft Old Toh Tuck Rd,1.331498,103.7577
1425,Tampines Ctrl 1,Tampines Int,1.354076,103.9434,Changi Nth Cres,VICOM Veh Insp Ctr,1.35029,103.9677
1432,S'goon Gdn Way,Aft Yio Chu Kang Rd,1.362918,103.8724,S'goon Nth Ave 1,Blk 128,1.365146,103.8725
1435,Tampines Ave 7,Blk 370,1.358366,103.9595,Buona Vista Flyover,Opp Ayer Rajah Ind Est,1.297512,103.7854
1443,Whampoa Rd,Blk 114,1.32532,103.8573,Selegie Rd,Selegie Ctr,1.303245,103.85
1446,Pasir Ris Dr 1,Blk 541,1.369449,103.9513,Yishun Ave 2,Opp Blk 757,1.426573,103.8354
1450,Marine Parade Rd,Bet Blks 72/74,1.304251,103.9077,Boon Keng Rd,Bef Kallang Pl,1.314346,103.8659
1452,Marymount Rd,Blk 260,1.359687,103.8417,Thomson Rd,Macritchie Reservoir,1.342193,103.836
1452,Bishan Rd,Opp Blk 217,1.356156,103.85,Clementi Rd,Ngee Ann Poly,1.332439,103.7777
1507,Yishun Ave 2,Blk 608,1.420546,103.835,Yishun Ave 2,Opp Blk 757,1.426573,103.835373
1513,Farrer Rd,Opp Farrer Rd Stn,1.317478,103.8079,Hougang Ctrl,Hougang Ctrl Int,1.371227,103.8926
1516,Bt Batok Ctrl,Blk 628,1.351555,103.75,Bt Batok West Ave 6,Blk 185,1.347166,103.7452
1520,Sengkang East Rd,Blk 301D,1.388093,103.8917,Sengkang East Rd,Opp Blk 323B,1.39231,103.8935
1527,Thomson Rd,Opp Novena Ch,1.321273,103.8418,Jln Toa Payoh,Trellis Twrs,1.329914,103.8438
1527,Jln Eunos,Eunos Stn,1.320656,103.9049,Kaki Bt Ave 1,Opp Kaki Bt Ind Est,1.333758,103.9043
1543,New Bridge Rd,New Bridge Ctr,1.282938,103.8425,Jln Bt Merah,Blk 201,1.280395,103.8271
1548,Jln Bt Merah,Blk 111,1.280453,103.8264,Depot Rd,Aft Hewlett Packard,1.281761,103.8096
1558,West Coast Rd,Opp West Bay Resort Condo,1.299081,103.767,Mountbatten Rd,Bef Kg Kayu Rd,1.30315,103.8844
1558,West Coast Rd,Opp West Bay Resort Condo,1.299081,103.767,Old Airport Rd,Blk 22,1.307261,103.8849
1559,Jln Jurong Kechil,Bef Upp Bt Timah Rd,1.340368,103.7753,Thomson Rd,Opp Macritchie Reservoir,1.341783,103.8362
1564,Marine Parade Rd,Parkway Parade,1.303004,103.906,Sengkang Sq,Sengkang Int,1.391781,103.8959
1569,Potong Pasir Ave 1,Blk 120,1.335601,103.8637,Penang Rd,Dhoby Ghaut Stn,1.298312,103.8453
1592,Bt Batok East Ave 3,Blk 229,1.348555,103.7546,Bt Batok Ctrl,Opp Blk 628,1.351765,103.7502
1603,Jln Eunos,Eunos Mans,1.328851,103.9055,Bedok Nth Rd,Opp Blk 416,1.328988,103.931
1614,Ang Mo Kio Ave 8,Yio Chu Kang Int,1.381132,103.8456,Ang Mo Kio Ave 6,Opp Castle Green,1.385732,103.8426
1614,Ang Mo Kio Ave 6,Opp Castle Green,1.385732,103.8426,Sengkang West Rd,Before Fernvale Lane,1.390294,103.8692
1622,Bedok Nth Ave 3,Blk 403,1.330047,103.9344,Bedok Nth Rd,Blk 109,1.331858,103.9351
1622,Bedok Nth Ave 3,Blk 506,1.332305,103.9339,Tampines Ave 1,Opp Temasek Poly,1.347078,103.9327
1638,Bedok Sth Rd,Opp Temasek JC,1.319691,103.9351,Loyang Ave,Opp Blk 149A,1.362261,103.9634
1639,Punggol Rd,The Rivervale,1.381512,103.8975,Buangkok Green,Opp Blk 968,1.379187,103.8783
1642,Braddell Rd,Aft Braddell Flyover,1.344051,103.8635,Upp S'goon Rd,Serangoon Stn,1.349046,103.8734
1648,Toh Guan Rd,Opp Blk 288D,1.340532,103.7442,Jurong Gateway Rd,Jurong East Temp Int,1.333408,103.7415
1651,Choa Chu Kang Ave 4,Opp Choa Chu Kang Stn,1.384254,103.7445,Old Choa Chu Kang Rd,Tengah Air Base,1.373678,103.7142
1651,Pending Rd,Opp Pending Stn,1.3763,103.771,Victoria St,Cath Of The Good Shepherd,1.295338,103.8511
1658,Eunos Link,Blk 311,1.330226,103.9038,Bedok Reservoir Rd,Blk 629,1.334568,103.9142
1659,Senja Rd,Blk 628,1.385001,103.7598,Bt Panjang Rd,Opp Blk 183,1.380496,103.7628
1662,Moonbeam Walk,Evian Condo,1.318651,103.7813,Nth Buona Vista Rd,Buona Vista Stn,1.306498,103.7906
1665,Jln Besar,Bef Sim Lim Twr,1.304319,103.855,C'wealth Ave West,Clementi Stn,1.314975,103.765
1671,Boon Lay Ave,Blk 185,1.347402,103.7106,Quality Rd,Bef Smithkline,1.333935,103.7103
1672,Jurong East Ctrl,Blk 134,1.334496,103.7388,Dover Rd,Opp Transview Golf Club,1.308964,103.7739
1672,Jurong East Ctrl,Blk 134,1.334496,103.7388,Dover Rd,Opp Transview Golf Club,1.308964,103.7739
1679,Rochor Rd,Aft Beach Rd,1.298865,103.8573,Beach Rd,The Gateway,1.299072,103.8589
1689,Punggol Field,Blk 101C,1.398569,103.9067,Clementi Rd,Ngee Ann Poly,1.332439,103.7777
1690,Yio Chu Kang Rd,Motorola,1.391107,103.8466,Yio Chu Kang Rd,Opp Motorola,1.391224,103.846
1696,Alexandra Rd,Opp SM Motors Ctr,1.292335,103.8115,C'wealth Ave,Queenstown Stn,1.295064,103.806
1696,Alexandra Rd,Opp SM Motors Ctr,1.292335,103.8115,Tiong Bahru Rd,Opp Redhill Stn,1.289281,103.8166
1697,Hillview Ave,Opp Hillbrooks,1.357573,103.7627,Bt Batok East Ave 4,Blk 254,1.349311,103.7579
1715,Upp Changi Rd Nth,The Japanese Sch,1.353323,103.966,Tampines Ave 5,Opp Tampines Stadium,1.352962,103.9417
1718,Punggol Rd,Opp Blk 110,1.384031,103.8996,Paya Lebar Rd,Le Crescendo,1.330782,103.8893
1723,Woodlands Ave 1,Blk 335,1.429555,103.7806,Woodlands Sq,Woodlands Reg Int,1.436493,103.7852
1723,Nth Bridge Rd,Cosmic Insurance Bldg,1.296673,103.8544,Woodlands Ave 5,Woodlands Civic Ctr,1.434578,103.7866
1726,Scotts Rd,Far East Plaza,1.30732,103.8332,Boon Lay Way,Opp The Synergy,1.330699,103.7481
1728,Hougang Ave 1,Blk 105 Mkt/FC,1.35413,103.8899,Aljunied Rd,Opp Blk 125,1.32317,103.8812
1735,Punggol Rd,St. Anne's Ch,1.393084,103.9013,Ang Mo Kio Ave 5,Opp Techplace 2,1.378543,103.8655
1738,Tiong Bahru Rd,Tiong Bahru Plaza,1.286,103.8275,Alexandra Rd,SIS Bldg,1.291538,103.8145
1738,Tiong Bahru Rd,Blk 55,1.28476,103.8341,Clemenceau Ave,Aft Haw Par Glass Twr,1.296246,103.8441
1740,Tiong Bahru Rd,Opp Tiong Bahru Plaza,1.285931,103.8267,Jln Bt Merah,Opp Blk 120,1.282278,103.8224
1742,Eunos Link,Opp Eunos Technolink,1.332915,103.901,Sengkang West Ave,Bef Fernvale Lane,1.39068,103.8747
1755,Bt Batok St 52,Blk 514,1.354852,103.7519,Toh Guan Rd,IMM Bldg,1.334462,103.7477
1757,Loyang Ave,Loyang Valley,1.369551,103.9706,Bedok Reservoir Rd,Opp Blk 716,1.338315,103.9249
1769,New Upp Changi Rd,Blk 32,1.323383,103.9251,Tampines Ave 7,Blk 370,1.358366,103.9595
1770,Bedok Reservoir Rd,Blk 629,1.334568,103.9142,Tampines Ave 5,Blk 147,1.348753,103.9421
1776,Bt Batok West Ave 4,Blk 331,1.363897,103.7472,Boon Keng Rd,Blk 12,1.317183,103.862
1779,Ayer Rajah Cres,Ayer Rajah Bus Pk,1.293932,103.7895,Nth Buona Vista Rd,Opp Buona Vista Stn,1.306324,103.7908
1782,Whitley Rd,Raffles Town Club,1.322148,103.8257,Balestier Rd,Aft Irrawaddy Rd,1.326465,103.8442
1782,Whitley Rd,Raffles Town Club,1.322148,103.8257,Balestier Rd,Aft Irrawaddy Rd,1.326465,103.8442
1785,Anchorvale Rd,Anchor Green Pr Sch,1.39121,103.8863,Sengkang East Ave,Opp Blk 203A,1.386054,103.8951
1785,Anchorvale Rd,Anchor Green Pr Sch,1.39121,103.8863,Lor 4 Toa Payoh,Jackson Sq,1.336831,103.8497
1789,Tampines Ave 7,Blk 449,1.356747,103.951,Tampines Ave 1,Opp SAFRA Tampines,1.345034,103.9401
1803,Upp Thomson Rd,Thomson View Condo,1.357158,103.8288,Yio Chu Kang Rd,Motorola,1.391107,103.8466
1818,Pasir Ris Dr 1,Blk 210,1.366776,103.9611,Tampines Ave 4,Tampines Stn/Int,1.353667,103.9461
1833,Dover Rd,United World College,1.303703,103.7818,Tampines Ave 1,Opp SAFRA Tampines,1.345034,103.9401
1844,Bedok Nth Ave 3,Blk 506,1.332305,103.9339,Tampines Ave 1,Opp Temasek Poly,1.347078,103.9327
1869,Tiong Bahru Rd,Blk 1,1.286084,103.8329,Cecil St,Opp GB Bldg,1.278921,103.8478
1869,Tiong Bahru Rd,Blk 1,1.286084,103.8329,Marina Blvd,The Sail,1.281619,103.8531
1876,Marine Cres,Blk 45,1.30438,103.9127,East Coast Rd,Opp Springvale,1.312505,103.925
1893,Hougang Ave 2,Opp Blk 709,1.367514,103.8888,Upp S'goon Rd,Kovan Stn,1.360504,103.8854
1893,Hougang Ave 2,Opp Blk 709,1.367514,103.8888,Upp S'goon Rd,Kovan Stn,1.360504,103.8854
1898,Lor Ah Soo,Opp Blk 146,1.350901,103.8826,Clementi Rd,Ngee Ann Poly,1.332439,103.7777
1942,Circuit Rd,Blk 36,1.328862,103.8869,Tampines Ave 1,Temasek Poly,1.346753,103.9326
1942,Circuit Rd,Blk 36,1.328862,103.8869,Pasir Ris Dr 3,Pasir Ris Int,1.373708,103.9496
1945,Lor Chuan,New Tech Pk,1.350967,103.8618,Sengkang Sq,Sengkang Int,1.391781,103.8959
1964,Ang Mo Kio Ave 10,Blk 465,1.36639,103.8566,Guillemard Rd,Bef S'pore Badminton Assn,1.310546,103.8832
1964,Ang Mo Kio Ave 8,Ang Mo Kio Int,1.369688,103.8486,Mandai Lake Rd,Aft Mandai Rd,1.409356,103.7798
1970,Tampines Ave 2,Tampines East CC,1.353033,103.9548,Paya Lebar Rd,Bef Geylang Fire Stn,1.316311,103.8922
1986,Pasir Ris St 41,Bet Blks 453/454,1.37211,103.9576,Pasir Ris Dr 6,Blk 429,1.36995,103.9569
1991,Ang Mo Kio Ave 4,Blk 110,1.37047,103.8368,Ang Mo Kio Ave 3,Opp Ang Mo Kio Stn,1.36921,103.8511
2030,Lor 4 Toa Payoh,Blk 56,1.337024,103.8499,Whitley Rd,Catholic JC,1.325882,103.8345
2055,Bt Batok East Ave 3,Blk 229,1.348555,103.7546,Bt Batok East Ave 3,Keming Pr Sch,1.346489,103.7568
2057,Sengkang West Ave,Pei Hwa Sec Sch,1.391002,103.8771,Ang Mo Kio Ave 5,Nanyang Poly,1.376478,103.85
2057,Sengkang West Ave,Pei Hwa Sec Sch,1.391002,103.8771,Ang Mo Kio Ave 5,Nanyang Poly,1.376478,103.85
2073,Jurong West Ave 1,Blk 490,1.349803,103.7274,Boon Lay Ave,Opp River Valley High Sch,1.344814,103.7081
2078,Upp S'goon Rd,Blk 403,1.34699,103.8721,Lavender St,Aft Kallang Rd,1.309508,103.8635
2083,Yishun Ave 5,Blk 145,1.430619,103.8322,Yishun Ctrl 2,Aft Yishun Ctrl,1.423626,103.8367
2083,Yishun Ave 5,Blk 145,1.430619,103.8322,Yishun Ctrl 2,Aft Yishun Ctrl,1.423626,103.8367
2086,Bedok Sth Rd,Blk 71,1.320671,103.9426,Marine Parade Rd,Opp Laguna Pk,1.309836,103.9294
2097,Upp Thomson Rd,Opp Thomson Plaza,1.3554,103.8315,Thomson Rd,Macritchie Reservoir,1.342193,103.836
2127,Tampines Ctrl 1,Tampines Int,1.354076,103.9434,Queensway,Blk 97,1.306213,103.8017
2156,Hougang Ave 5,Blk 327,1.368094,103.8959,Hougang Ave 3,Blk 172,1.350814,103.8898
2176,West Coast Rd,Blk 411,1.318511,103.7464,West Coast Rd,Blk 726 Clementi West Mkt,1.304153,103.7645
2188,Hougang Ave 9,Hougang 1,1.37513,103.8791,Hougang Ave 9,Blk 946A,1.374888,103.8807
2190,Jln Eunos,Eunos Mans,1.328851,103.9055,Upp East Coast Rd,Opp Bedok Camp 2,1.319902,103.9551
2193,Airport Rd,Opp Blk 1022,1.334677,103.8924,Ang Mo Kio Ave 8,Yio Chu Kang Int,1.381132,103.8456
2215,Toh Tuck Rise,Opp Toh Tuck Cres,1.337696,103.7643,Jln Anak Bt,Opp Bt Timah Plaza,1.340071,103.7794
2216,Tampines Ave 1,Opp Tropica Condo,1.349498,103.9278,New Upp Changi Rd,Blk 32,1.323383,103.9251
2219,Geylang East Ctrl,Geylang Meth Pr Sch,1.318436,103.8843,Paya Lebar Rd,Opp Paya Lebar Stn,1.318567,103.8917
2219,Nanyang Ave,Bef Jln Bahar,1.356931,103.6942,Aljunied Rd,Aljunied Pk,1.329303,103.8798
2226,Simei Ave,Opp Blk 3012,1.337368,103.9507,Robinson Rd,Aft Capital Twr,1.277826,103.8481
2240,Still Rd,Flora East,1.314733,103.9059,PIE,Opp Catholic JC,1.326481,103.834
2245,Woodlands Ave 3,Blk 320,1.4321,103.7782,Pending Rd,Opp Pending Stn,1.3763,103.771
2265,Penjuru Rd,Aft Jln Buroh,1.312675,103.7345,Teck Whye Lane,Blk 25,1.378208,103.7551
2270,Guillemard Rd,Bef S'pore Badminton Assn,1.310546,103.8832,Paya Lebar Rd,Paya Lebar Stn,1.318602,103.8921
2278,Teck Whye Ave,Opp Choa Chu Kang Polyclinic,1.38152,103.7514,Tuas Sth Ave 3,Sin Lian Heng Const,1.314709,103.6287
2281,Bt Timah Rd,King Albert Pk,1.336871,103.7804,Choa Chu Kang Rd,Phoenix Stn,1.378356,103.7577
2296,Tampines Ave 10,Opp Tampines Dormitory,1.367208,103.9311,Tampines Ave 9,Blk 721,1.360248,103.936
2303,Pipit Rd,Blk 90,1.323622,103.887,Paya Lebar Rd,Opp CISCO Ctr,1.320914,103.8912
2307,Lavender St,Opp Umar P Tamil Lang Ctr,1.315385,103.8595,Lavender St,Opp Pek Chuan Bldg,1.311676,103.8619
2308,Pasir Ris Dr 10,Meridian JC,1.376943,103.9363,Pasir Ris Dr 3,Opp Downtown East,1.375066,103.954
2316,Teck Whye Ave,Choa Chu Kang Polyclinic,1.381773,103.7513,Jln Kolam Ayer,MOM Svcs Ctr,1.326856,103.8695
2339,Bedok Reservoir Rd,Blk 646,1.330965,103.9063,Tampines Ave 1,Temasek Poly,1.346753,103.9326
2339,Bedok Reservoir Rd,Blk 646,1.330965,103.9063,Tampines Ave 1,Temasek Poly,1.346753,103.9326
2373,Bt Timah Rd,Little India Stn,1.306644,103.8492,S'goon Ctrl,Serangoon Stn,1.350818,103.8733
2378,Jln Bt Merah,Blk 201,1.280395,103.8271,Lower Delta Rd,Blk 48,1.288758,103.8257
2378,Jln Bt Merah,Blk 201,1.280395,103.8271,New Bridge Rd,New Bridge Ctr,1.282938,103.8425
2379,Tampines Ave 7,Blk 449,1.356747,103.951,Sims Ave,Aft Tg Katong Cplx,1.317406,103.8948
2380,Bedok Reservoir Rd,Opp Kaki Bt Ctr,1.337532,103.9153,Ubi Ave 3,Opp HDB CP,1.332276,103.895
2380,Bedok Reservoir Rd,Opp Kaki Bt Ctr,1.337532,103.9153,Ubi Ave 3,Opp HDB CP,1.332276,103.895
2382,Pasir Ris Dr 1,Blk 210,1.366776,103.9611,Pasir Ris Dr 1,Blk 197,1.366253,103.9612
2382,Pasir Ris Dr 1,Blk 210,1.366776,103.9611,Compassvale Rd,Opp Blk 223D,1.388949,103.8969
2400,Bedok Nth Ave 3,Blk 403,1.330047,103.9344,Eunos Link,Blk 637,1.33074,103.9037
2400,Bedok Nth Rd,Blk 85,1.331739,103.9386,Bedok Nth Ave 3,Blk 109,1.332133,103.9343
2403,Upp Bt Timah Rd,Aft Ct Bt Timah,1.345848,103.7726,Upp Bt Timah Rd,Opp Bt Timah Shop Ctr,1.343007,103.7754
2403,Jln Batu Nilam,Opp Hillbrooks,1.359003,103.7621,Upp Bt Timah Rd,Aft Ct Bt Timah,1.345848,103.7726
2405,Old Airport Rd,Blk 99,1.308455,103.8885,Tampines Ave 7,Bef Tampines Reg Lib,1.3566,103.9454
2405,Old Airport Rd,Blk 99,1.308455,103.8885,Tampines Ave 4,Tampines Stn/Int,1.353667,103.9461
2410,Woodlands Sq,Woodlands Reg Int,1.436621,103.7859,Bt Batok East Ave 4,Blk 254,1.349311,103.7579
2417,Ang Mo Kio Ave 1,Teck Ghee Ct,1.36359,103.8479,Ang Mo Kio Ave 3,Blk 324,1.368755,103.8466
2417,Ang Mo Kio Ave 1,Teck Ghee Ct,1.36359,103.8479,Ang Mo Kio Ave 3,Blk 324,1.368755,103.8466
2431,C'wealth Ave,Blk 53A CP,1.293199,103.8074,Alexandra Rd,Anchorpoint,1.288571,103.8054
2431,C'wealth Ave,Blk 53A CP,1.293199,103.8074,Alexandra Rd,Anchorpoint,1.288571,103.8054
2431,C'wealth Ave,Blk 53A CP,1.293199,103.8074,Henderson Rd,Opp Blk 1,1.279144,103.8169
2471,Eu Tong Sen St,People's Pk Cplx,1.28407,103.843,Shenton Way,UIC Bldg,1.27807,103.8496
2472,Ang Mo Kio Ave 3,Opp Mayflower Sec Sch,1.368808,103.8368,Kg Bahru Rd,Opp Keppel DP Blk 519,1.271781,103.8271
2481,Alexandra Rd,Opp SIS Bldg,1.29187,103.8144,Kim Keat Rd,Opp Jumbo Ind Bldg,1.324561,103.8533
2528,Jurong Town Hall Rd,Opp Blk 114,1.338993,103.7339,Jurong Town Hall Rd,Opp Jurong East Lib,1.331759,103.7396
2528,Jurong Town Hall Rd,Opp Blk 114,1.338993,103.7339,Jurong Town Hall Rd,Opp Jurong East Lib,1.331759,103.7396
2569,Jln Boon Lay,Blk 680C,1.345227,103.7062,Mandai Lake Rd,S'Pore Zoo,1.404624,103.7894
2587,Toh Guan Rd,Blk 288E,1.340456,103.744,C'wealth Ave West,Dover Stn,1.311683,103.7787
2601,Jurong West St 42,Blk 416,1.352421,103.7254,Bras Basah Rd,NTUC Income Ctr,1.296389,103.8515
2610,Buona Vista Flyover,Opp NUH,1.296482,103.7846,Alexandra Rd,Alexandra Pt,1.277184,103.8025
2610,Buona Vista Flyover,Opp NUH,1.296482,103.7846,Alexandra Rd,Alexandra Pt,1.277184,103.8025
2616,Geylang Rd,Aft Sims Way,1.310777,103.8736,Victoria St,Opp Bugis Junction,1.300155,103.8552
2626,Jln Sultan,Sultan Plaza,1.302912,103.8616,Upp East Coast Rd,Opp The Summit,1.314854,103.9407
2628,Upp S'goon Rd,Aft Serangoon Shop Ctr,1.35348,103.878,Upp Paya Lebar Rd,Blk 161,1.351701,103.8786
2628,Upp S'goon Rd,Aft Serangoon Shop Ctr,1.35348,103.878,Upp Paya Lebar Rd,Blk 161,1.351701,103.8786
2666,Tampines Ave 1,Opp SAFRA Tampines,1.345034,103.9401,Upp Changi Rd East,Opp Tropicana Condo,1.340415,103.9613
2666,Tampines Ave 1,Opp SAFRA Tampines,1.345034,103.9401,Upp Changi Rd East,Bef Tropicana Condo,1.339954,103.9608
2666,Tampines Ave 1,Opp SAFRA Tampines,1.345034,103.9401,Upp Changi Rd East,Opp Tropicana Condo,1.340415,103.9613
2666,Tampines Ave 1,Opp SAFRA Tampines,1.345034,103.9401,Upp Changi Rd East,Bef Tropicana Condo,1.339954,103.9608
2669,Ang Mo Kio Ave 8,Opp Nanyang Poly,1.378363,103.8472,Loyang Ave,Loyang Valley,1.369551,103.9706
2670,Bt Batok West Ave 2,Blk 306,1.35797,103.7473,Pasir Panjang Rd,Opp Heng Mui Keng Terr,1.290463,103.7736
2678,Senja Rd,West Spring Sec Sch,1.387155,103.7602,Bt Panjang Rd,Blk 223,1.375778,103.7742
2678,Senja Rd,West Spring Sec Sch,1.387155,103.7602,Bt Panjang Rd,Blk 223,1.375778,103.7742
2698,Depot Rd,Aft Hewlett Packard,1.281761,103.8096,Paterson Rd,Opp Paterson Lodge,1.302299,103.83
2711,C'wealth Ave West,Clementi Stn,1.314975,103.765,Lower Delta Rd,Blk 25B,1.283736,103.8249
2713,Yio Chu Kang Rd,Toho Green,1.366065,103.8752,Upp Paya Lebar Rd,Opp Paya Lebar St,1.33965,103.8864
2713,Yio Chu Kang Rd,Toho Green,1.366065,103.8752,Upp Paya Lebar Rd,Opp Paya Lebar St,1.33965,103.8864
2737,Ang Mo Kio Ave 6,Aft Blk 304,1.366187,103.8442,Ang Mo Kio Ave 8,Ang Mo Kio Int,1.369688,103.8486
2737,Ang Mo Kio Ave 6,Aft Blk 304,1.366187,103.8442,Ang Mo Kio Ave 8,Ang Mo Kio Int,1.369688,103.8486
2739,Hougang Ave 1,Blk 232,1.358755,103.8891,PTB1 Basement,Changi Airport PTB1,1.361267,103.9907
2747,Bt Batok Ctrl,Opp Blk 628,1.351765,103.7502,Choa Chu Kang Loop,Choa Chu Kang Int,1.385511,103.7441
2766,Upp Paya Lebar Rd,Opp Tai Seng Stn,1.335064,103.8887,Simei St 3,Opp Simei Stn,1.342118,103.9535
2795,New Upp Changi Rd,Blk 65,1.324935,103.9395,New Upp Changi Rd,Bedok Sports Cplx,1.325319,103.9396
2795,New Upp Changi Rd,Blk 65,1.324935,103.9395,New Upp Changi Rd,Bedok Sports Cplx,1.325319,103.9396
2795,Airport Blvd,Near SATS Flight Kitchen,1.342037,103.9824,Sims Ave,Yi Xiu Fty Bldg,1.3138,103.8766
2813,Telok Blangah Way,Al-Amin Mque,1.275682,103.8191,Alexandra Rd,Opp Lea Hin Hardware Fty,1.291088,103.8075
2826,Changi Village Rd,Changi Village Ter,1.389698,103.9876,Lor 1 Toa Payoh,Braddell Stn,1.34069,103.848
2842,Changi Rd,Aft GE Life Ctr,1.317095,103.903,Sims Ave,Eunos Stn,1.318779,103.9023
2842,Changi Rd,Aft GE Life Ctr,1.317095,103.903,Sims Ave,Eunos Stn,1.318779,103.9023
2878,Clemenceau Ave,Aft Haw Par Glass Twr,1.296246,103.8441,Jln Bt Merah,Blk 119,1.282923,103.8217
2878,Tiong Bahru Rd,Tiong Bahru Plaza,1.286,103.8275,Thomson Rd,Opp Thomson Med Ctr,1.324895,103.8421
2918,Tampines Ave 7,Blk 497D,1.358458,103.9592,Loyang Way,Opp Selarang Pk Drug Reh.,1.370821,103.9801
2925,Marsiling Rd,Blk 12,1.440083,103.7785,Jln Toa Payoh,Opp Trellis Twrs,1.329315,103.8438
2943,Lower Delta Rd,Blk 129,1.283665,103.8245,Kim Seng Rd,Opp Great World City,1.293627,103.8328
2943,Lower Delta Rd,Blk 129,1.283665,103.8245,Kim Seng Rd,Opp Great World City,1.293627,103.8328
2988,S'goon Rd,Boon Keng Stn,1.320088,103.8618,Geylang Bahru,Blk 68,1.322581,103.8702
2988,S'goon Rd,Boon Keng Stn,1.320088,103.8618,Geylang Bahru,Blk 68,1.322581,103.8702
2989,Pasir Ris Dr 1,Blk 210,1.366776,103.9611,Tampines Ave 1,Opp Temasek Poly East G,1.345678,103.936
2989,Pasir Ris Dr 1,Blk 210,1.366776,103.9611,Tampines Ave 1,Opp Temasek Poly East G,1.345678,103.936
2994,Bt Batok Ctrl,Bt Batok Int,1.349994,103.7511,Sembawang Dr,Blk 328,1.445829,103.8197
3038,Sengkang East Rd,Blk 301D,1.388093,103.8917,Pasir Ris Dr 1,Aft Pasir Ris Ctrl,1.371163,103.9484
3043,Jln Anak Bt,Opp Beauty World Ctr,1.343269,103.7769,Upp Thomson Rd,Bef Thomson Plaza,1.354497,103.8325
3068,Jurong Gateway Rd,Jurong East Temp Int,1.333408,103.7415,Boon Lay Pl,Blk 207,1.346382,103.7133
3081,Ang Mo Kio Ave 8,Blk 422,1.367845,103.8506,Bishan Rd,Blk 210,1.355383,103.8491
3081,Ang Mo Kio Ave 1,Teck Ghee Ct,1.36359,103.8479,Bishan Rd,Blk 210,1.355383,103.8491
3088,Sengkang West Ave,Pei Hwa Sec Sch,1.391002,103.8771,Yio Chu Kang Rd,Aft Jln Redop,1.387728,103.87
3095,Bt Timah Rd,Botanic Gdns Stn,1.32265,103.8155,Hougang Ctrl,Hougang Ctrl Int,1.370607,103.8927
