userid,start_busStop,start_roadDes,start_y,start_x,end_busStop,end_roadDes,end_y,end_x
238,Upp Pickering St,Hong Lim Pk,1.286012,103.8463,Palmer Rd,Bef Shenton Way,1.273275,103.8466
238,Sth Bridge Rd,Opp Hong Lim Cplx,1.284471,103.8467,Palmer Rd,Bef Shenton Way,1.273275,103.8466
258,Kg Bahru Rd,St. Teresa's Ch,1.273707,103.8286,Tiong Bahru Rd,Opp Tiong Bahru Plaza,1.285931,103.8267
258,Temasek Blvd,Suntec Twr Three,1.295605,103.8596,Kg Bahru Rd,Aft Jln Bt Merah,1.276233,103.8348
273,Bedok Nth Rd,Fengshan Pr Sch,1.330917,103.9323,Eunos Link,Opp Comfort Driving Ctr,1.336396,103.8979
284,River Valley Rd,Aft AA Ctr,1.295931,103.8394,Tampines Ave 5,Opp Darul Ghufran Mque,1.355934,103.939
284,Tampines Ave 2,Tampines East CC,1.353033,103.9548,Airport Blvd,Bef Changi Airport PTB3,1.347195,103.9841
285,Punggol Rd,Opp Blk 110,1.384031,103.8996,Sengkang East Ave,Blk 208 CP,1.383938,103.8977
290,Kg Bahru Rd,Aft Blair Rd,1.276058,103.8352,Telok Blangah Rd,VivoCity,1.265514,103.8221
317,Bedok Nth St 3,Opp Blk 550,1.333165,103.927,Bedok Nth Dr,Bedok Int,1.325005,103.9282
318,Compassvale Rd,Blk 223D,1.389083,103.8971,Tuas Ave 1,Asiatic Engrg,1.3213,103.6597
318,Compassvale Rd,Blk 223D,1.389083,103.8971,Eunos Link,Comfort Driving Ctr,1.335541,103.8983
323,Tiong Bahru Rd,Delta Swim Cplx,1.288757,103.8194,Middle Rd,Opp Prime Ctr,1.300634,103.8511
324,Hougang Ave 8,Opp Punggol Pk,1.375141,103.8972,Upp Paya Lebar Rd,Aft Paya Lebar St,1.339658,103.8858
338,Bedok Nth Rd,Bet Blks 705/706,1.336425,103.9183,Scotts Rd,Royal Plaza On Scotts,1.307022,103.8327
349,S'goon Rd,Opp Bendemeer Pr Sch,1.322588,103.8639,Tampines Ave 10,Aft TPE,1.374387,103.9315
370,Pasir Ris Dr 10,Meridian JC,1.376943,103.9363,Pasir Ris Dr 1,Opp Blk 571,1.372663,103.9456
372,Tampines Ave 3,Blk 831,1.349869,103.9343,Tampines Ctrl 1,Tampines Int,1.354076,103.9434
372,Sth Buona Vista Rd,Opp Kent Ridge Stn,1.29241,103.7846,Rochor Canal Rd,Aft Sim Lim Sq,1.30385,103.8521
375,C'wealth Ave West,Clementi Stn,1.314975,103.765,Airport Blvd,Aft Changi Airport PTB2,1.346872,103.9843
377,Joo Chiat Pl,Opp East Shore Hosp,1.314804,103.9095,Paya Lebar Rd,Paya Lebar Stn,1.318602,103.8921
378,Pasir Ris Dr 12,Blk 747A,1.378297,103.9334,Ubi Ave 3,Opp HDB CP,1.332276,103.895
383,Hougang Ctrl,Opp Hougang Ctrl Int,1.3714,103.8917,Tampines Rd,Bef Lor Tongkol,1.367511,103.91
388,Pasir Ris Dr 1,Blk 210,1.366776,103.9611,Pasir Ris St 11,Bef Blk 187,1.364761,103.9591
